kind,url,name,source_price,live_prices
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=192,УЛЬТРА 12 месяцев + 2 месяца заморозки в подарок (Ровио),14990,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=193,УЛЬТРА 12 месяцев + подарок,11990,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=194,УЛЬТРА 6 месяцев + 3 месяца в подарок,14990,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=195,УЛЬТРА 9 месяцев (подарок),10990,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=196,"Холодные 13 900,00 МУЛЬТИ 24 месяца",13900,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=197,"Холодные 9 900,00 УЛЬТРА 12 месяцев",9900,[9.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=408,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (рассрочка),11990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=409,Абонемент МУЛЬТИКАРТА 12 месяцев (Спецпредложение) рассрочка,10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=410,УЛЬТРА 12 месяцев (рассрочка),11990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=411,Абонемент МУЛЬТИКАРТА 12 месяцев (рассрочка),14990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=412,Абонемент 2 недели бесплатно,0,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=413,Абонемент МУЛЬТИКАРТА 15 месяцев спецпредложение (рассрочка),10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=421,Абонемент 2 недели бесплатно,0,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=422,Абонемент МУЛЬТИКАРТА 12 месяцев (Спецпредложение) рассрочка,10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=423,Абонемент МУЛЬТИКАРТА 15 месяцев спецпредложение (рассрочка),10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=424,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (рассрочка),11990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=425,УЛЬТРА 12 месяцев (рассрочка),11990,[1.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=159,Аренда рекламного места А2,2200,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=160,Восстановление пластиковой карты,500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=161,Заморозка абонемента 90 дней,2300,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=163,Подарочный сертификат на сумму 1500,1500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=164,Подарочный сертификат на сумму 2000,2000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=165,Подарочный сертификат на сумму 3000,3000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=173,Доплата,11230,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=174,Заморозка абонемента 14 дней,600,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=175,Перевод из клуба в клуб,2000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=176,Утеря ключа от шкафчика,400,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=7,Сайкл для начинающих без клубной карты,0,[300.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=31,Аренда рекламного места,4500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=32,Восстановление пластиковой карты,500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=33,Доплата,11230,[1.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=34,Доплата до года,6890,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=37,Медленный класс (персональные тренировки),1300,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=38,Перевод из клуба в клуб,2000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=40,Подарочный сертификат на сумму 1000,1000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=41,Подарочный сертификат на сумму 1500,1500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=42,Подарочный сертификат на сумму 2000,2000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=43,Подарочный сертификат на сумму 3000,3000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=44,Подарочный сертификат на сумму 5000,5000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=45,Утеря валика,500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=46,Утеря ключа от шкафчика,400,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=47,Утеря магнитного ключа-метки,1300,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=48,Утеря манжеты,1000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=49,Утеря номерка от гардероба,200,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=168,Заморозка абонемента 14 дней,600,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=169,Заморозка абонемента 90 дней,2300,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=80,Восстановление пластиковой карты,500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=81,Доплата,11230,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=83,Заморозка абонемента 90 дней,2300,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=84,Подарочный сертификат на сумму 1000,1000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=85,Подарочный сертификат на сумму 1500,1500,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=86,Подарочный сертификат на сумму 3000,3000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=87,Подарочный сертификат на сумму 5000,5000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=88,Утеря ключа от шкафчика,400,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=89,Утеря магнитного ключа-метки,1300,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=120,Доплата,11230,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=121,Доплата до года,6890,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=123,Заморозка абонемента 14 дней,600,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=124,Перевод из клуба в клуб,2000,[0.0]
service,https://fitnes-imperiya.fitbase.io/services/update?id=126,Подарочный сертификат на сумму 1500,1500,[0.0]
