source,length_bucket,product_name,clients
sql,11_19_24_months,Абонемент МУЛЬТИКАРТА 12 месяцев+2 лета в подарок,1
sql,11_19_24_months,Мультикарта на 6 месяцев,1
sql,11_19_24_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,1
sql,11_19_24_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),1
sql,11_19_24_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),1
sql,11_19_24_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),1
sql,12_24_plus_months,Абонемент МУЛЬТИ 24 месяцев,37
sql,12_24_plus_months,Абонемент УЛЬТРА 24 месяца,27
sql,12_24_plus_months,Абонемент УЛЬТРА 12 + 2 лета в подарок,2
sql,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев,2
sql,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,1
sql,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,1
sql,12_24_plus_months,Абонемент УЛЬТРА 12+6 месяцев,1
sql,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),1
sql,12_24_plus_months,"Холодные 13 900,00 МУЛЬТИ 24 месяца",1
sql,12_24_plus_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,1
